,bptt,mamba,mamba_clow,mamba_chigh,transformer,transformer_clow,transformer_chigh
26,2700,0.8249595143965311,0.8231571600801538,0.8267618687129085,0.8856055776278179,0.8843337398358655,0.8868774154197703
27,2800,0.8248067915439605,0.8228034638143359,0.8268101192735852,0.8859754020259494,0.8843115656926005,0.8876392383592983
28,2900,0.8252789344106402,0.8236377329162085,0.8269201359050719,0.8864775379498798,0.8851779570866283,0.8877771188131314
29,3000,0.8252119133869806,0.8232310900185397,0.8271927367554216,0.8866762000890004,0.8850870316240288,0.888265368553972
30,3100,0.8254161914189655,0.8232816694694208,0.8275507133685102,0.8866160822766169,0.8847867884723318,0.888445376080902
31,3200,0.8254112479232607,0.8231286557725768,0.8276938400739446,0.8867544811396371,0.8850038059684263,0.8885051563108478
32,3300,0.8256151466142562,0.8235870181935863,0.8276432750349261,0.8872975518306097,0.8856723768470406,0.8889227268141787
33,3400,0.8255476071721033,0.8236039578606216,0.827491256483585,0.8874278512739,0.8859442410879513,0.8889114614598487
34,3500,0.825633003456252,0.8239751525936682,0.8272908543188359,0.8876239567995071,0.8864445682228259,0.8888033453761883
35,3600,0.825433352021944,0.8234105668569385,0.8274561371869495,0.8878825901519685,0.8867866005976426,0.8889785797062943
36,3700,0.8255045020864124,0.8234411584426624,0.8275678457301623,0.8881910309905097,0.8872176248885638,0.8891644370924555
37,3800,0.8256138861179352,0.8236392710598643,0.827588501176006,0.8884830941756567,0.887582386553687,0.8893838017976264
38,3900,0.8255445264634632,0.8240565644152708,0.8270324885116557,0.8887843210072746,0.8880561516280842,0.889512490386465
39,4000,0.8253122766812643,0.8237596406296275,0.8268649127329011,0.8887682718890055,0.8878547391549749,0.8896818046230361
40,4100,0.8251962582270304,0.8237685896695438,0.8266239267845169,0.8888119782720294,0.8879806436092749,0.8896433129347839
41,4200,0.8252542844840459,0.8236520771904413,0.8268564917776505,0.8890389981723967,0.887986580711134,0.8900914156336595
42,4300,0.8250318603856224,0.8237565806002286,0.8263071401710161,0.8889446130820682,0.8880399930645101,0.8898492330996263
43,4400,0.8251166386263712,0.8240858434098157,0.8261474338429267,0.8889408507517406,0.8880530364284229,0.8898286650750582
44,4500,0.825062305302847,0.8239711120076726,0.8261534985980213,0.8892454296350479,0.8885321454621519,0.889958713807944
45,4600,0.8248349984486897,0.8238109939513536,0.8258590029460258,0.8893418329102651,0.8885797439143925,0.8901039219061377
46,4700,0.8244899417672839,0.8235807451637067,0.825399138370861,0.8895589300564357,0.8889484931505554,0.8901693669623161
47,4800,0.824706962278911,0.8239279487659293,0.8254859757918928,0.8897621816112882,0.8892303605437071,0.8902940026788693
48,4900,0.824620494956062,0.8239752840131569,0.8252657058989672,0.8900174509911312,0.8895546493388475,0.8904802526434148
